"","logFC","logCPM","F","PValue","FDR"
"bcas1",-1.69280183360768,4.36006385866141,15.9177642500405,0.0012973698465094,0.115745835098259
"LOC108246996",1.60740559791247,6.99652365826602,16.043194479681,0.00130141498863422,0.115745835098259
"LOC108231675",-1.53709769700491,3.92469225977696,15.8978858935477,0.00130338308995648,0.115745835098259
"LOC108229359",-1.45443972994539,4.60420232473905,15.8875342187109,0.00130674122260355,0.115745835098259
"ndrg3a",-1.08614881937516,7.09116665887175,15.8676292383471,0.00131322636644215,0.115745835098259
"tmem14ca",0.984283426365293,6.08998950202247,15.8596773528627,0.00131582742520442,0.115745835098259
"slc25a4",-1.24081854420142,8.0138922267152,15.8291606869238,0.00132586431143459,0.115745835098259
"LOC108231660",-1.23684611241886,5.42210906273606,15.8243633838174,0.00132745009629984,0.115745835098259
"bub1",1.08118492972817,4.68357869736043,15.8135874170186,0.00133102009681954,0.115745835098259
"lrit1b",-3.75257965885358,3.28413936126776,16.1199181545513,0.00133588474904639,0.115745835098259
"ankrd33bb",-5.35894311646839,1.03700187263834,15.8200223496468,0.0013403621626515,0.115745835098259
"serpini1",-1.48232737006901,4.91864481833899,15.7739420912438,0.00134424924724858,0.115745835098259
"kcnj1a.1",1.69071097170219,2.90961536717003,15.747088574237,0.00135329544867011,0.115745835098259
"LOC108243220",-3.98857300666826,0.793024099565553,15.7406718362167,0.00135546737304266,0.115745835098259
"LOC108249420",-2.54228902107455,4.51179508135639,16.0077762359275,0.00136000141953473,0.115745835098259
"gabrb3",-1.71642819639535,3.1850629650036,15.6861696881792,0.00137407692477196,0.116364386660878
"LOC108238592",-0.99734015756272,8.4675957355953,15.6338463332926,0.00139221822879843,0.116364386660878
"LOC108238593",-1.1411119109734,7.68993177781112,15.6328500109049,0.00139256631980505,0.116364386660878
"LOC108235048",-4.21342913626603,1.59342812687763,15.6064871096064,0.00140181318363636,0.116364386660878
"LOC108246769",-2.50596426018213,3.7300289792303,15.7357328596656,0.00140373082352102,0.116364386660878
"pde6gb",-3.44010575886886,3.52208279516945,15.9042278020152,0.00140861808530275,0.116364386660878
"LOC119616827",-4.51803826657027,1.09853158388084,15.5819832033745,0.00141047108681173,0.116364386660878
"LOC108237841",-3.75742185108427,3.2720240696328,15.8550318789185,0.00141148632101552,0.116364386660878
"LOC108248513",-1.79648328737141,9.99555202632959,15.7477153407414,0.00141610038319994,0.116364386660878
"ppp1r3db",-4.43548018872254,0.624715814954646,15.5374293413205,0.00142637053641198,0.116649671570228
"LOC108240021",-3.4585912812953,3.41797910482221,15.9216580523269,0.00143246679993444,0.116649671570228
"LOC108234342",-7.29346717542849,-0.150806054186081,16.7189457498548,0.00143675602752828,0.116649671570228
"slc4a10b",-2.08325624331994,2.68497054632978,15.4960310231013,0.00144132806295102,0.116649671570228
"fxyd7",-3.13153721809205,0.74655662294877,15.4400940644081,0.00146182467644915,0.117863736224831
"fbxo41",-1.68719019662272,5.32830525681238,15.5372265657845,0.00147212524124323,0.118249700557841
"atp1b3a",-1.43715108490906,5.1515382263555,15.3693439230299,0.00148867831325327,0.119133148449041
"prlh2",-6.82626035689282,-1.1723902017731,16.5209916355902,0.00150146109421646,0.119456335484103
"LOC108250213",-2.31924626219507,1.58210146169328,15.3072493560396,0.00151185372080939,0.119456335484103
"fat2",-1.33252085395954,5.64856166885686,15.2936364285195,0.0015170901692422,0.119456335484103
"LOC108230715",-4.38938114883068,1.15498889742271,15.292108922082,0.00151767904599186,0.119456335484103
"arl3l1",-3.11842250687486,5.13463336990526,16.1985509878625,0.00152056602728401,0.119456335484103
"si:ch211-173a9.7",-5.42920970737431,1.03400990512332,15.2555901613286,0.00154520790139298,0.120093813769581
"si:ch211-212o1.2",-1.24612626489908,4.23912215232669,15.2125372654916,0.00154872021961347,0.120093813769581
"glra2",-1.80578890539275,3.65240454728874,15.1741754707829,0.00156394462539326,0.120093813769581
"naa25",0.746041299317206,6.4308771990476,15.1588712928242,0.00157006607192516,0.120093813769581
"LOC108238657",-1.87239543318418,2.34380077398945,15.1540607531908,0.00157199588178542,0.120093813769581
